originals	tokenized	transliterated
èloro	è l o r o	E l o r o
NA	NA	NA
NA	NA	NA
èèlako	è è l a k o	E E l a k o
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èènono: oefĕ	è è n o n o : # oe f ĕ	E E n o n o : # u f ė
oeèfĕ	oe è f ĕ	u E f ė
èèolie	è è o l ie	E E o l i
èèolieoekoewĕ	è è o l ie oe k oe w ĕ	E E o l i u k u w ė
NA	NA	NA
NA	NA	NA
èèfĕ	è è f ĕ	E E f ė
èhabarie(j)ĕ	è h a b a r ie ( j ) ĕ	E h a b a r i ( j ) ė
NA	NA	NA
NA	NA	NA
èhaiefoe	è h a ie f oe	E h a i f u
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èhaĕ	è h a ĕ	E h a ė
NA	NA	NA
NA	NA	NA
èhèafo	è h è a f o	E h E a f o
NA	NA	NA
èhèie(j)ĕ	è h è ie ( j ) ĕ	E h E i ( j ) ė
NA	NA	NA
èhaèkoe(q)	è h a è k oe ( q )	E h a E k u ( ' )
mahaèkoe(q)	m a h a è k oe ( q )	m a h a E k u ( ' )
èhèkoe(q)wĕ	è h è k oe ( q ) w ĕ	E h E k u ( ' ) w ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èhöarie	è h ö a r ie	E h u̇ a r i
mahöarie	m a h ö a r ie	m a h u̇ a r i
NA	NA	NA
èho(w)afĕ	è h o ( w ) a f ĕ	E h o ( w ) a f ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èèdjie; èietjie	è è dj ie ; # è ie tj ie	E E j i ; # E i c i
aèdjie	a è dj ie	a E j i
NA	NA	NA
NA	NA	NA
èieieoeloe	è ie ie oe l oe	E i i u l u
NA	NA	NA
NA	NA	NA
èie(j)obĕ	è ie ( j ) o b ĕ	E i ( j ) o b ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èiefĕ	è ie f ĕ	E i f ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
aniemaie	a n ie m a ie	a n i m a i
NA	NA	NA
ie(j)araq	ie ( j ) a r a q	i ( j ) a r a '
ie(j)araq noeha	ie ( j ) a r a q # n oe h a	i ( j ) a r a ' # n u h a
NA	NA	NA
NA	NA	NA
NA	NA	NA
