originals	tokenized	transliterated
èapoeq	è a p oe q	ɛ a p u ʔ
èapoie	è a p o ie	ɛ a p o i
èa(q)	è a ( q )	ɛ a ( ʔ )
èara	è a r a	ɛ a r a
èara: èhöda	è a r a : # è h ö d a	ɛ a r a : # ɛ h ɨ d a
èmanie	è m a n ie	ɛ m a n i
(oe)èkieho	( oe ) è k ie h o	( u ) ɛ k i ç o
(oe)kieadoboe	( oe ) k ie a d o b oe	( u ) k i a d o b u
(oe)wabèha	( oe ) w a b è h a	( u ) w a b ɛ h a
(oe)äie	( oe ) ä ie	( u ) ʔ a i
(oe)apo	( oe ) a p o	( u ) a p o
baära	b a ä r a	b a ʔ a r a
èaraboeka	è a r a b oe k a	ɛ a r a b u k a
èaraqko(w)a	è a r a q k o ( w ) a	ɛ a r a ʔ k o ( w ) a
èaroekèrè	è a r oe k è r è	ɛ a r u k ɛ r ɛ
èaroe(w)a	è a r oe ( w ) a	ɛ a r u ( w ) a
èaroja	è a r o j a	ɛ a r o j a
èaropa	è a r o p a	ɛ a r o p a
èaroqä	è a r o qä	ɛ a r o ʔ a
èatjara	è a tj a r a	ɛ a t͡ʃ a r a
èawaq	è a w a q	ɛ a w a ʔ
èba	è b a	ɛ b a
èbaba	è b a b a	ɛ b a b a
èbadjiedjo	è b a dj ie dj o	ɛ b a d͡ʒ i d͡ʒ o
èbaho	è b a h o	ɛ b a h o
èbaie	è b a ie	ɛ b a i
èbaka	è b a k a	ɛ b a k a
èbaka: (è)oewè	è b a k a : # ( è ) oe w è	ɛ b a k a : # ( ɛ ) u w ɛ
(oe)kahaoq	( oe ) k a h a o q	( u ) k a h a o ʔ
(oe)kiedjaie	( oe ) k ie dj a ie	( u ) k i d͡ʒ a i
(oe)kokoq	( oe ) k o k o q	( u ) k o k o ʔ
(oe)oemo	( oe ) oe m o	( u ) u m o
èbaoe	è b a oe	ɛ b a u
èbèlo(w)a	è b è l o ( w ) a	ɛ b ɛ l o ( w ) a
èbèo	è b è o	ɛ b ɛ o
èbiehoe	è b ie h oe	ɛ b i ç u
èbie(j)oe	è b ie ( j ) oe	ɛ b i ( j ) u
èbo	è b o	ɛ b o
èboeèparaqwo	è b oe è p a r a q w o	ɛ b u ɛ p a r a ʔ w o
èboe(w)è	è b oe ( w ) è	ɛ b u ( w ) ɛ
èboqaboqa	è b o q a b o q a	ɛ b o ʔ a b o ʔ a
èdaba	è d a b a	ɛ d a b a
èdaboeho	è d a b oe h o	ɛ d a b u h o
èdaboeho	è d a b oe h o	ɛ d a b u h o
èadoho	è a d o h o	ɛ a d o h o
èaroiepoko	è a r o ie p o k o	ɛ a r o i p o k o
èbaka	è b a k a	ɛ b a k a
èie(j)oeh	è ie ( j ) oe h	ɛ i ( j ) u h
èkarèpè(h)	è k a r è p è ( h )	ɛ k a r ɛ p ɛ ( h )
èkiedjaie	è k ie dj a ie	ɛ k i d͡ʒ a i
èoedoe	è oe d oe	ɛ u d u
èoekaq	è oe k a q	ɛ u k a ʔ
èpaö	è p a ö	ɛ p a ʔ o
èdado; èdadoèoedoe	è d a d o ; # è d a d oè oe d oe	ɛ d a d o ; # ɛ d a d u u d u
èdahajo	è d a h a j o	ɛ d a h a j o
èdahèboeäo	è d a h è b oe ä o	ɛ d a h ɛ b u ʔ a o
èdakohaq	è d a k o h a q	ɛ d a k o h a ʔ
èdèabo	è d è a b o	ɛ d ɛ a b o
èdiehao	è d ie h a o	ɛ d i ç a o
èdiehie(j)oq	è d ie h ie ( j ) o q	ɛ d i ç i ( j ) o ʔ
èdieho	è d ie h o	ɛ d i ç o
èdie(j)a	è d ie ( j ) a	ɛ d i ( j ) a
èdie(j)o	è d ie ( j ) o	ɛ d i ( j ) o
èdieie(j)o	è d ie ie ( j ) o	ɛ d i i ( j ) o
èdie(j)oe(w)aka	è d ie ( j ) oe ( w ) a k a	ɛ d i ( j ) u ( w ) a k a
èdie(j)oewaoekèdjajoe	è d ie ( j ) oe w a oe k è dj a j oe	ɛ d i ( j ) u w a u k ɛ d͡ʒ a j u
èdiekieho	è d ie k ie h o	ɛ d i k i ç o
èdiekoeroe	è d ie k oe r oe	ɛ d i k u r u
èdieoboe; èdieoboedie(j)ĕ	è d ie o b oe ; # è d ie o b oe d ie ( j ) ĕ	ɛ d i o b u ; # ɛ d i o b u d i ( j ) ə
èdoboe	è d o b oe	ɛ d o b u
èdoboe kanapoe(w)a	è d o b oe # k a n a p oe ( w ) a	ɛ d o b u # k a n a p u ( w ) a
èdodie	è d o d ie	ɛ d o d i
èdoehoekie(j)aq	è d oe h oe k ie ( j ) a q	ɛ d u h u k i ( j ) a ʔ
èdohaie	è d o h a ie	ɛ d o h a i
èdohoie	è d o h o ie	ɛ d o h o i
kiedohoie	k ie d o h o ie	k i d o h o i
èdolèdolè	è d o l è d o l è	ɛ d o l ɛ d o l ɛ
èdoöa	è d o ö a	ɛ d o ʔ o a
èdoöraoe	è d o ö r a oe	ɛ d o ʔ o r a u
èdopo	è d o p o	ɛ d o p o
èdopodopo	è d o p o d o p o	ɛ d o p o d o p o
èdoro	è d o r o	ɛ d o r o
èè	è è	ɛ ɛ
èèbaè	è è b a è	ɛ ɛ b a ɛ
èèdako	è è d a k o	ɛ ɛ d a k o
èèèno	è è è n o	ɛ ɛ ɛ n o
èèhè	è è h è	ɛ ɛ h ɛ
èèho	è è h o	ɛ ɛ h o
èèhöa	è è h ö a	ɛ ɛ h ɨ a
èè(j)aq	è è ( j ) a q	ɛ ɛ ( j ) a ʔ
èèkadjie(j)a	è è k a dj ie ( j ) a	ɛ ɛ k a d͡ʒ i ( j ) a
èèko	è è k o	ɛ ɛ k o
èèlo	è è l o	ɛ ɛ l o
èèmaha	è è m a h a	ɛ ɛ m a h a
èèna	è è n a	ɛ ɛ n a
èènèho	è è n è h o	ɛ ɛ n ɛ h o
èènono; èènono: oepo	è è n o n o ; # è è n o n o : # oe p o	ɛ ɛ n o n o ; # ɛ ɛ n o n o : # u p o
oeèpo	oe è p o	u ɛ p o
