originals	tokenized	transliterated
èkietjoh	è k ie tj o h	ɛ k i t͡ʃ o h
èkietohè	è k ie t o h è	ɛ k i t o h ɛ
èkoanoe	è k o a n oe	ɛ k o a n u
èköaq	è k ö a q	ɛ k ɨ a ʔ
èkodie(j)o	è k o d ie ( j ) o	ɛ k o d i ( j ) o
èkodaäjo	è k o d a ä j o	ɛ k o d a ʔ a j o
èkoeaka	è k oe a k a	ɛ k u a k a
èkoedodo	è k oe d o d o	ɛ k u d o d o
èkoedodoka	è k oe d o d o k a	ɛ k u d o d o k a
èkoeha	è k oe h a	ɛ k u h a
èkoehie(j)o	è k oe h ie ( j ) o	ɛ k u h i ( j ) o
èkoeka	è k oe k a	ɛ k u k a
èkoeka(oe)waie	è k oe k a ( oe ) w a ie	ɛ k u k a ( u ) w a i
èkoema(q)aoe	è k oe m a ( q ) a oe	ɛ k u m a ( ʔ ) a u
èkoena	è k oe n a	ɛ k u n a
èkoeöedo	è k oe ö e d o	ɛ k u ʔ o e d o
èkoepado	è k oe p a d o	ɛ k u p a d o
èkoe(w)abo	è k oe ( w ) a b o	ɛ k u ( w ) a b o
èkoe(w)iekoe(w)ie	è k oe ( w ) ie k oe ( w ) ie	ɛ k u ( w ) i k u ( w ) i
èkoe(w)o	è k oe ( w ) o	ɛ k u ( w ) o
èkohèaq	è k o h è a q	ɛ k o h ɛ a ʔ
èkoh(oie)	è k o h ( o ie )	ɛ k o h ( o i )
èkohoq	è k o h o q	ɛ k o h o ʔ
èkohoqoe(j)obie	è k o h o q oe ( j ) o b ie	ɛ k o h o ʔ u ( j ) o b i
èkojoq	è k o j o q	ɛ k o j o ʔ
èkokoq	è k o k o q	ɛ k o k o ʔ
èkonienie	è k o n ie n ie	ɛ k o n i n i
kokonienie	k o k o n ie n ie	k o k o n i n i
èkonjoq	è k o nj o q	ɛ k o ɲ o ʔ
èkoq	è k o q	ɛ k o ʔ
èkoqä	è k o qä	ɛ k o ʔ a
èkoqa(j)odie(j)a	è k o q a ( j ) o d ie ( j ) a	ɛ k o ʔ a ( j ) o d i ( j ) a
èko(q)hajo	è k o ( q ) h a j o	ɛ k o ( ʔ ) h a j o
èko(ö)qko(ö)q	è k o ( ö ) q k o ( ö ) q	ɛ k o ( ʔ o ) ʔ k o ( ʔ o ) ʔ
èkoq(n)jaoe	è k o q ( n ) j a oe	ɛ k o ʔ ( n ) j a u
èkoqoeie	è k o q oe ie	ɛ k o ʔ u i
èkoropie	è k o r o p ie	ɛ k o r o p i
èko(w)a	è k o ( w ) a	ɛ k o ( w ) a
èko(w)èq	è k o ( w ) è q	ɛ k o ( w ) ɛ ʔ
èko(w)èq	è k o ( w ) è q	ɛ k o ( w ) ɛ ʔ
èoe(w)è	è oe ( w ) è	ɛ u ( w ) ɛ
ie(j)akapieta	ie ( j ) a k a p ie t a	i ( j ) a k a p i t a
kaoedara	k a oe d a r a	k a u d a r a
oehoeqkoe(w)o	oe h oe q k oe ( w ) o	u h u ʔ k u ( w ) o
oewokie	oe w o k ie	u w o k i
èko(w)èq	è k o ( w ) è q	ɛ k o ( w ) ɛ ʔ
èlaäpoe(w)a	è l a ä p oe ( w ) a	ɛ l a ʔ a p u ( w ) a
èlahaö	è l a h a ö	ɛ l a h a ʔ o
èmanie	è m a n ie	ɛ m a n i
èlaohoe	è l a o h oe	ɛ l a o h u
èlè	è l è	ɛ l ɛ
èlèaq	è l è a q	ɛ l ɛ a ʔ
èloaba	è l o a b a	ɛ l o a b a
èloha	è l o h a	ɛ l o h a
èmahokakie	è m a h o k a k ie	ɛ m a h o k a k i
èmanie	è m a n ie	ɛ m a n i
èmènahoa	è m è n a h o a	ɛ m ɛ n a h o a
èmèno	è m è n o	ɛ m ɛ n o
èmèo	è m è o	ɛ m ɛ o
èmienoemienoe	è m ie n oe m ie n oe	ɛ m i n u m i n u
èmoamoq	è m o a m o q	ɛ m o a m o ʔ
èmoeoeha	è m oeoe h a	ɛ m u ʔ u h a
èmomoq	è m o m o q	ɛ m o m o ʔ
èmoöie(j)a	è m o ö ie ( j ) a	ɛ m o ʔ o i ( j ) a
ènaè(na)	è n a è ( n a )	ɛ n a ɛ ( n a )
ènaè(na): oe(w)apo	è n a è ( n a ) : # oe ( w ) a p o	ɛ n a ɛ ( n a ) : # u ( w ) a p o
oe(w)aie	oe ( w ) a ie	u ( w ) a i
ènana	è n a n a	ɛ n a n a
ènanaoe(w)è	è n a n a oe ( w ) è	ɛ n a n a u ( w ) ɛ
ènapa	è n a p a	ɛ n a p a
ènapienapie	è n a p ie n a p ie	ɛ n a p i n a p i
ènapienie	è n a p ie n ie	ɛ n a p i n i
ènè	è n è	ɛ n ɛ
ènèhèie	è n è h è ie	ɛ n ɛ h ɛ i
ènèanèa	è n è a n è a	ɛ n ɛ a n ɛ a
ènèka	è n è k a	ɛ n ɛ k a
ènieènie(j)a	è n ie è n ie ( j ) a	ɛ n i ɛ n i ( j ) a
ènie(j)o	è n ie ( j ) o	ɛ n i ( j ) o
ènienie	è n ie n ie	ɛ n i n i
ènoä	è n o ä	ɛ n o ʔ a
ènoeqoeq	è n oe q oe q	ɛ n u ʔ u ʔ
ènohaie	è n o h a ie	ɛ n o h a i
ènomonomo	è n o m o n o m o	ɛ n o m o n o m o
ènoöhoq	è n o ö h o q	ɛ n o ʔ o h o ʔ
èoaba	è o a b a	ɛ o a b a
èobo	è o b o	ɛ o b o
èodie	è o d ie	ɛ o d i
apieha èodiedie(j)a	a p ie h a # è o d ie d ie ( j ) a	a p i ç a # ɛ o d i d i ( j ) a
èodieaäq	è o d ie a ä q	ɛ o d i a ʔ a ʔ
bodieaäq	b o d ie a ä q	b o d i a ʔ a ʔ
kahohodieaäq	k a h o h o d ie a ä q	k a h o h o d i a ʔ a ʔ
èodieöka	è o d ie ö k a	ɛ o d i ʔ o k a
èodjie	è o dj ie	ɛ o d͡ʒ i
èodo	è o d o	ɛ o d o
èodöda	è o d ö d a	ɛ o d ɨ d a
èodoe	è o d oe	ɛ o d u
èodohèie	è o d o h è ie	ɛ o d o h ɛ i
èoeba	è oe b a	ɛ u b a
èoeba: èkaèn	è oe b a : # è k a è n	ɛ u b a : # ɛ k a ɛ n
èkieadoboe	è k ie a d o b oe	ɛ k i a d o b u
èkojoq	è k o j o q	ɛ k o j o ʔ
ètèbè	è t è b è	ɛ t ɛ b ɛ
kèèèpa	k è è è p a	k ɛ ɛ ɛ p a
èoeda	è oe d a	ɛ u d a
èoedie	è oe d ie	ɛ u d i
èoedoe	è oe d oe	ɛ u d u
èoedoe bèlo(w)a	è oe d oe # b è l o ( w ) a	ɛ u d u # b ɛ l o ( w ) a
èoeèhè(j)a	è oe è h è ( j ) a	ɛ u ɛ h ɛ ( j ) a
èoehoe	è oe h oe	ɛ u h u
èoeko	è oe k o	ɛ u k o
èoekoe	è oe k oe	ɛ u k u
èoekoeaie	è oe k oe a ie	ɛ u k u a i
èoekoediepo	è oe k oe d ie p o	ɛ u k u d i p o
èoekoeie	è oe k oe ie	ɛ u k u i
èoekoeqoe	è oe k oe q oe	ɛ u k u ʔ u
èoekoe(w)aie	è oe k oe ( w ) a ie	ɛ u k u ( w ) a i
èoema	è oe m a	ɛ u m a
èoemiehie	è oe m ie h ie	ɛ u m i ç i
èoemo	è oe m o	ɛ u m o
èoenèkè	è oe n è k è	ɛ u n ɛ k ɛ
è(oe)noekie(j)o	è ( oe ) n oe k ie ( j ) o	ɛ ( u ) n u k i ( j ) o
èoeoe	è oeoe	ɛ u ʔ u
èoeoe(w)apo	è oeoe ( w ) a p o	ɛ u ʔ u ( w ) a p o
èoeoenoe	è oeoe n oe	ɛ u ʔ u n u
èoepo	è oe p o	ɛ u p o
èoepoeie(j)o	è oe p oe ie ( j ) o	ɛ u p u i ( j ) o
èoepoeqoe(w)o	è oe p oe q oe ( w ) o	ɛ u p u ʔ u ( w ) o
èoepoe(w)a	è oe p oe ( w ) a	ɛ u p u ( w ) a
èoe(w)a	è oe ( w ) a	ɛ u ( w ) a
èoe(w)aie	è oe ( w ) a ie	ɛ u ( w ) a i
èoe(w)aka	è oe ( w ) a k a	ɛ u ( w ) a k a
èoe(w)apo	è oe ( w ) a p o	ɛ u ( w ) a p o
èoe(w)oho	è oe ( w ) o h o	ɛ u ( w ) o h o
è(o)hora; è(o)horaoekèèpa	è ( o ) h o r a ; # è ( o ) h o r a oe k è è p a	ɛ ( o ) h o r a ; # ɛ ( o ) h o r a u k ɛ ɛ p a
èokaha	è o k a h a	ɛ o k a h a
èokahao	è o k a h a o	ɛ o k a h a o
èokaq	è o k a q	ɛ o k a ʔ
èokie(j)o	è o k ie ( j ) o	ɛ o k i ( j ) o
èoko	è o k o	ɛ o k o
èokoa	è o k o a	ɛ o k o a
èoko(ĕ)	è o k o ( ĕ )	ɛ o k o ( ə )
èokoeh; èokoehèoedoe	è o k oe h ; # è o k oe h è oe d oe	ɛ o k u h ; # ɛ o k u h ɛ u d u
èokohè	è o k o h è	ɛ o k o h ɛ
èokomè	è o k o m è	ɛ o k o m ɛ
èokopie	è o k o p ie	ɛ o k o p i
èokoq	è o k o q	ɛ o k o ʔ
èomo(kie)	è o m o ( k ie )	ɛ o m o ( k i )
èomohoĕ	è o m o h o ĕ	ɛ o m o h o ə
èomona	è o m o n a	ɛ o m o n a
èomoqö	è o m o q ö	ɛ o m o ʔ ɨ
èonokĕ	è o n o k ĕ	ɛ o n o k ə
èononie	è o n o n ie	ɛ o n o n i
èoöbaq	è o ö b a q	ɛ o ʔ o b a ʔ
èoöbo	è o ö b o	ɛ o ʔ o b o
èoöboq	è o ö b o q	ɛ o ʔ o b o ʔ
èoökie	è o ö k ie	ɛ o ʔ o k i
èopa	è o p a	ɛ o p a
èopoe	è o p oe	ɛ o p u
èoqoe	è o q oe	ɛ o ʔ u
èoqoq	è o q o q	ɛ o ʔ o ʔ
èoqoqie	è o q o q ie	ɛ o ʔ o ʔ i
èoraie	è o r a ie	ɛ o r a i
èpa	è p a	ɛ p a
èpa(ä)hona	è p a ( ä ) h o n a	ɛ p a ( ʔ a ) h o n a
èpaäno	è p a ä n o	ɛ p a ʔ a n o
èpaäo	è p a ä o	ɛ p a ʔ a o
èpaboriekie	è p a b o r ie k ie	ɛ p a b o r i k i
èpadoedoe	è p a d oe d oe	ɛ p a d u d u
èpaèka	è p a è k a	ɛ p a ɛ k a
èpaèloèpaèloie	è p a è l oè p a è l o ie	ɛ p a ɛ l u p a ɛ l o i
èpaènoqjaqä	è p a è n o q j a qä	ɛ p a ɛ n o ʔ j a ʔ a
èpaèpa	è p a è p a	ɛ p a ɛ p a
èpahiedoa	è p a h ie d o a	ɛ p a h i d o a
èpahjoe	è p a h j oe	ɛ p a h j u
èèdako	è è d a k o	ɛ ɛ d a k o
èpaho	è p a h o	ɛ p a h o
èpahoäq	è p a h o ä q	ɛ p a h o ʔ a ʔ
èpahoe(w)a	è p a h oe ( w ) a	ɛ p a h u ( w ) a
èpaienoä	è p a ie n o ä	ɛ p a i n o ʔ a
èpaka	è p a k a	ɛ p a k a
èpakamaie	è p a k a m a ie	ɛ p a k a m a i
èpakèlie	è p a k è l ie	ɛ p a k ɛ l i
èpakoehè	è p a k oe h è	ɛ p a k u h ɛ
èpakoeie	è p a k oe ie	ɛ p a k u i
èpako(w)a	è p a k o ( w ) a	ɛ p a k o ( w ) a
èpalè	è p a l è	ɛ p a l ɛ
èpananaö	è p a n a n a ö	ɛ p a n a n a ʔ o
èpanoe	è p a n oe	ɛ p a n u
èpanoeka	è p a n oe k a	ɛ p a n u k a
èpanèma	è p a n è m a	ɛ p a n ɛ m a
èpaö	è p a ö	ɛ p a ʔ o
èpaopa	è p a o p a	ɛ p a o p a
èpaoqöqaie	è p a o q ö q a ie	ɛ p a o ʔ ɨ ʔ a i
èpè	è p è	ɛ p ɛ
èpèa	è p è a	ɛ p ɛ a
èpèa(ie)ha	è p è a ( ie ) h a	ɛ p ɛ a ( i ) h a
èpèdjie	è p è dj ie	ɛ p ɛ d͡ʒ i
èpèdjiekèèqbara	è p è dj ie k è è q b a r a	ɛ p ɛ d͡ʒ i k ɛ ɛ ʔ b a r a
èpèdo(w)a(ö)	è p è d o ( w ) a ( ö )	ɛ p ɛ d o ( w ) a ( ʔ o )
èpèhè	è p è h è	ɛ p ɛ h ɛ
èpèkoe(w)aq	è p è k oe ( w ) a q	ɛ p ɛ k u ( w ) a ʔ
èpèkoeqwaq	è p è k oe q w a q	ɛ p ɛ k u ʔ w a ʔ
èpènaö	è p è n a ö	ɛ p ɛ n a ʔ o
èpèrhaoedie	è p è r h a oe d ie	ɛ p ɛ r h a u d i
èpèrie(j)oq	è p è r ie ( j ) o q	ɛ p ɛ r i ( j ) o ʔ
èpieako(w)èq	è p ie a k o ( w ) è q	ɛ p i a k o ( w ) ɛ ʔ
èpieaoe(w)apo	è p ie a oe ( w ) a p o	ɛ p i a u ( w ) a p o
èpiedjaja	è p ie dj a j a	ɛ p i d͡ʒ a j a
èpiedjoe	è p ie dj oe	ɛ p i d͡ʒ u
èpiedjoeapo	è p ie dj oe a p o	ɛ p i d͡ʒ u a p o
èpieho; èpiehooe(è)oe(w)è	è p ie h o ; # è p ie h o oe ( è ) oe ( w ) è	ɛ p i ç o ; # ɛ p i ç o u ( ɛ ) u ( w ) ɛ
èpie(j)a	è p ie ( j ) a	ɛ p i ( j ) a
èpie(j)opie(j)o	è p ie ( j ) o p ie ( j ) o	ɛ p i ( j ) o p i ( j ) o
èpieko	è p ie k o	ɛ p i k o
èpienie	è p ie n ie	ɛ p i n i
èpieniepie	è p ie n ie p ie	ɛ p i n i p i
èpiepie	è p ie p ie	ɛ p i p i
èpoäq	è p o ä q	ɛ p o ʔ a ʔ
èpoeäo	è p oe ä o	ɛ p u ʔ a o
èpoedarie	è p oe d a r ie	ɛ p u d a r i
èpoedoe	è p oe d oe	ɛ p u d u
èpoeha	è p oe h a	ɛ p u h a
èpoeiehoe	è p oe ie h oe	ɛ p u i ç u
èpoeko	è p oe k o	ɛ p u k o
èpoenoe	è p oe n oe	ɛ p u n u
èpoeoe	è p oeoe	ɛ p u ʔ u
èpoe(oe)qoe	è p oe ( oe ) q oe	ɛ p u ( u ) ʔ u
èpoe(oe)qoe: oe(w)apo	è p oe ( oe ) q oe : # oe ( w ) a p o	ɛ p u ( u ) ʔ u : # u ( w ) a p o
oe(w)aie	oe ( w ) a ie	u ( w ) a i
èpoeroedoe(ie)	è p oe r oe d oe ( ie )	ɛ p u r u d u ( i )
èpoeroedoe(ie): èoedoe	è p oe r oe d oe ( ie ) : # è oe d oe	ɛ p u r u d u ( i ) : # ɛ u d u
oebaka	oe b a k a	u b a k a
èpoeroedoe(ie)	è p oe r oe d oe ( ie )	ɛ p u r u d u ( i )
èpoeroedoe(ie): aniemaie	è p oe r oe d oe ( ie ) : # a n ie m a ie	ɛ p u r u d u ( i ) : # a n i m a i
èko(ö)qko(ö)q	è k o ( ö ) q k o ( ö ) q	ɛ k o ( ʔ o ) ʔ k o ( ʔ o ) ʔ
oeietjo	oe ie tj o	u i t͡ʃ o
èpo(ah)ha	è p o ( a h ) h a	ɛ p o ( a h ) h a
èpoh	è p o h	ɛ p o h
èpohkèaq	è p o h k è a q	ɛ p o h k ɛ a ʔ
èpoko	è p o k o	ɛ p o k o
èponanamè	è p o n a n a m è	ɛ p o n a n a m ɛ
èpo(ö)kaha	è p o ( ö ) k a h a	ɛ p o ( ʔ o ) k a h a
èpoökie	è p o ö k ie	ɛ p o ʔ o k i
èpoqa	è p o q a	ɛ p o ʔ a
èpo(q)ienamo	è p o ( q ) ie n a m o	ɛ p o ( ʔ ) i n a m o
èporo	è p o r o	ɛ p o r o
(èq)èhoenè	( è q ) è h oe n è	( ɛ ʔ ) ɛ h u n ɛ
ètèbè	è t è b è	ɛ t ɛ b ɛ
èwakiepöro	è w a k ie p ö r o	ɛ w a k i p ɨ r o
garam	g a r a m	g a r a m
goeroe	g oe r oe	g u r u
ha	h a	h a
habakao	h a b a k a o	h a b a k a o
haboejaq	h a b oe j a q	h a b u j a ʔ
haie	h a ie	h a i
haiejaha	h a ie j a h a	h a i j a h a
abahaiejaha	a b a h a ie j a h a	a b a h a i j a h a
kahaiejaha	k a h a ie j a h a	k a h a i j a h a
halè	h a l è	h a l ɛ
hamèhènie	h a m è h è n ie	h a m ɛ h ɛ n i
haoe	h a oe	h a u
hèdapiehie	h è d a p ie h ie	h ɛ d a p i ç i
hèie(j)o	h è ie ( j ) o	h ɛ i ( j ) o
hie	h ie	h i
hiebaie	h ie b a ie	h i b a i
hieie(j)oie(j)o	h ie ie ( j ) o ie ( j ) o	h i i ( j ) o i ( j ) o
hie(j)onie	h ie ( j ) o n ie	h i ( j ) o n i
hienoea	h ie n oe a	h i n u a
ho	h o	h o
hoäkoqaq	h o ä k o q a q	h o ʔ a k o ʔ a ʔ
hobaäoeie(j)aka	h o b a ä oe ie ( j ) a k a	h o b a ʔ a u i ( j ) a k a
hobaäoe(w)a	h o b a ä oe ( w ) a	h o b a ʔ a u ( w ) a
hobahaba	h o b a h a b a	h o b a h a b a
hobèèaö	h o b è è a ö	h o b ɛ ɛ a ʔ o
hoboek	h o b oe k	h o b u k
hödahöda	h ö d a h ö d a	h ɨ d a h ɨ d a
hodiedieka	h o d ie d ie k a	h o d i d i k a
hodiekie	h o d ie k ie	h o d i k i
hoèana	h oè a n a	h u a n a
hoeka	h oe k a	h u k a
hoeko(q)ä	h oe k o (q)ä	h u k o ( ʔ ) a
hoeoenoeka	h oeoe n oe k a	h u ʔ u n u k a
hoie	h o ie	h o i
höka	h ö k a	h ɨ k a
homaie	h o m a ie	h o m a i
homanieka	h o m a n ie k a	h o m a n i k a
hona(o)	h o n a ( o )	h o n a ( o )
honoaha	h o n o a h a	h o n o a h a
hopaie	h o p a ie	h o p a i
hopanao	h o p a n a o	h o p a n a o
ie	ie	i
iedjie	ie dj ie	i d͡ʒ i
ieho	ie h o	i ç o
ieho akoloe poq	ie h o # a k o l oe # p o q	i ç o # a k o l u # p o ʔ
iehoie(j)ana	ie h o ie ( j ) a n a	i ç o i ( j ) a n a
ie(j)aäo	ie ( j ) a ä o	i ( j ) a ʔ a o
ie(j)abie	ie ( j ) a b ie	i ( j ) a b i
ie(j)aha(ie)	ie ( j ) a h a ( ie )	i ( j ) a h a ( i )
ie(j)ahaoeoeaq	ie ( j ) a h a oeoe a q	i ( j ) a h a u ʔ u a ʔ
ie(j)o	ie ( j ) o	i ( j ) o
ie(j)oho	ie ( j ) o h o	i ( j ) o h o
ie(j)okie	ie ( j ) o k ie	i ( j ) o k i
ie(j)omoö	ie ( j ) o m o ö	i ( j ) o m o ʔ o
ie(j)onie	ie ( j ) o n ie	i ( j ) o n i
ie(j)onie(j)a	ie ( j ) o n ie ( j ) a	i ( j ) o n i ( j ) a
ieka	ie k a	i k a
iekahaö	ie k a h a ö	i k a h a ʔ o
iekahoboe(w)ara	ie k a h o b oe ( w ) a r a	i k a h o b u ( w ) a r a
iekara	ie k a r a	i k a r a
iekoedoha	ie k oe d o h a	i k u d o h a
iekoeko	ie k oe k o	i k u k o
ienaou(w)a	ie n a o u ( w ) a	i n a o u ( w ) a
ienoenoeq	ie n oe n oe q	i n u n u ʔ
ienoqie	ie n o q ie	i n o ʔ i
ietaqoe(w)a	ie t a q oe ( w ) a	i t a ʔ u ( w ) a
ietèq	ie t è q	i t ɛ ʔ
ietjo	ie tj o	i t͡ʃ o
ietjoehaq	ie tj oe h a q	i t͡ʃ u h a ʔ
ka	k a	k a
kaä	k a ä	k a ʔ a
kaäämie	k a ä ä m ie	k a ʔ a ʔ a m i
kaä(ä)oe(w)a	k a ä ( ä ) oe ( w ) a	k a ʔ a ( ʔ a ) u ( w ) a
kaädahoaie	k a ä d a h o a ie	k a ʔ a d a h o a i
kaädodie	k a ä d o d ie	k a ʔ a d o d i
kaädo(j)a	k a ä d o ( j ) a	k a ʔ a d o ( j ) a
kaähoeöie	k a ä h oe ö ie	k a ʔ a h u ʔ o i
kaäjoq	k a ä j o q	k a ʔ a j o ʔ
ka(ä)kèo	k a ( ä ) k è o	k a ( ʔ a ) k ɛ o
kaäkèho	k a ä k è h o	k a ʔ a k ɛ h o
kaäkie	k a ä k ie	k a ʔ a k i
kaäkieè	k a ä k ie è	k a ʔ a k i ɛ
kaäkiekie(j)ĕ	k a ä k ie k ie ( j ) ĕ	k a ʔ a k i k i ( j ) ə
kaäkienafah	k a ä k ie n a f a h	k a ʔ a k i n a f a h
kaäkienè	k a ä k ie n è	k a ʔ a k i n ɛ
kaäkieniepa	k a ä k ie n ie p a	k a ʔ a k i n i p a
kaäkoeka(h)	k a ä k oe k a ( h )	k a ʔ a k u k a ( h )
kaäkoho	k a ä k o h o	k a ʔ a k o h o
kaämie	k a ä m ie	k a ʔ a m i
kaäoe	k a ä oe	k a ʔ a u
kaäpaoe	k a ä p a oe	k a ʔ a p a u
kaäpèaäaq	k a ä p è a ä a q	k a ʔ a p ɛ a ʔ a a ʔ
kaäpoho	k a ä p o h o	k a ʔ a p o h o
kababahaq	k a b a b a h a q	k a b a b a h a ʔ
kabáèlo	k a b á è l o	k a b a ɛ l o
kabahoa	k a b a h o a	k a b a h o a
kabahöjaäq	k a b a h ö j a ä q	k a b a h ɨ j a ʔ a ʔ
kabakoä	k a b a k o ä	k a b a k o ʔ a
kabatjoä	k a b a tj o ä	k a b a t͡ʃ o ʔ a
kabĕa	k a b ĕ a	k a b ə a
kabèhoq	k a b è h o q	k a b ɛ h o ʔ
kabiekaka	k a b ie k a k a	k a b i k a k a
kabiekèbie	k a b ie k è b ie	k a b i k ɛ b i
kaboe(w)aboe(w)a	k a b oe ( w ) a b oe ( w ) a	k a b u ( w ) a b u ( w ) a
kaboekoe	k a b oe k oe	k a b u k u
kadèadèa	k a d è a d è a	k a d ɛ a d ɛ a
kadèda	k a d è d a	k a d ɛ d a
kadèdè	k a d è d è	k a d ɛ d ɛ
kadiehie	k a d ie h ie	k a d i ç i
kadiekopo	k a d ie k o p o	k a d i k o p o
kadoboedoboe	k a d o b oe d o b oe	k a d o b u d o b u
kadodohodie	k a d o d o h o d ie	k a d o d o h o d i
kadoèhoeda	k a d oè h oe d a	k a d u h u d a
kadoqö	k a d o q ö	k a d o ʔ ɨ
kaènaha	k a è n a h a	k a ɛ n a h a
kaènoe	k a è n oe	k a ɛ n u
kaèöèo	k a è ö è o	k a ɛ ɨ ɛ o
kah	k a h	k a h
kaha	k a h a	k a h a
kahabaja	k a h a b a j a	k a h a b a j a
kahabaoeba	k a h a b a oe b a	k a h a b a u b a
kahabarieq	k a h a b a r ie q	k a h a b a r i ʔ
kahabieta	k a h a b ie t a	k a h a b i t a
kahaè	k a h a è	k a h a ɛ
kahapa	k a h a p a	k a h a p a
kahaho	k a h a h o	k a h a h o
kahaie	k a h a ie	k a h a i
kahaiekoenaq	k a h a ie k oe n a q	k a h a i k u n a ʔ
kahaienoeapè	k a h a ie n oe a p è	k a h a i n u a p ɛ
kahaja	k a h a j a	k a h a j a
kahakakie	k a h a k a k ie	k a h a k a k i
kahakouda	k a h a k o u d a	k a h a k o u d a
kahao	k a h a o	k a h a o
kahao: èmanie	k a h a o : # è m a n ie	k a h a o : # ɛ m a n i
èhöda	è h ö d a	ɛ h ɨ d a
kahaoeq	k a h a oe q	k a h a u ʔ
kahaoka	k a h a o k a	k a h a o k a
kahapaq	k a h a p a q	k a h a p a ʔ
kahapie	k a h a p ie	k a h a p i
kahapoeoeie(j)a	k a h a p oeoe ie ( j ) a	k a h a p u ʔ u i ( j ) a
kahapoeqoeie	k a h a p oe q oe ie	k a h a p u ʔ u i
kaharao	k a h a r a o	k a h a r a o
kahèdohèdo	k a h è d o h è d o	k a h ɛ d o h ɛ d o
kahèè	k a h è è	k a h ɛ ɛ
kahè(j)oq	k a h è ( j ) o q	k a h ɛ ( j ) o ʔ
kahiekanie	k a h ie k a n ie	k a h i k a n i
kahienoaq	k a h ie n o a q	k a h i n o a ʔ
kahiepa	k a h ie p a	k a h i p a
kahoeie(j)oeroe(w)a	k a h oe ie ( j ) oe r oe ( w ) a	k a h u i ( j ) u r u ( w ) a
kahoepohoepoö	k a h oe p o h oe p o ö	k a h u p o h u p o ʔ o
kahopo	k a h o p o	k a h o p o
kahö(w)a	k a h ö ( w ) a	k a h ɨ ( w ) a
kaie	k a ie	k a i
kaie(j)aè	k a ie ( j ) a è	k a i ( j ) a ɛ
kaie(j)anono	k a ie ( j ) a n o n o	k a i ( j ) a n o n o
kaie(j)ojo(q)	k a ie ( j ) o j o ( q )	k a i ( j ) o j o ( ʔ )
kaiekoko	k a ie k o k o	k a i k o k o
kaienono(q)	k a ie n o n o ( q )	k a i n o n o ( ʔ )
kajajaä	k a j a j a ä	k a j a j a ʔ a
kajo	k a j o	k a j o
kajoöie	k a j o ö ie	k a j o ʔ o i
kakanaka	k a k a n a k a	k a k a n a k a
kakanakoe(w)a	k a k a n a k oe ( w ) a	k a k a n a k u ( w ) a
kakanèha	k a k a n è h a	k a k a n ɛ h a
kakaraie	k a k a r a ie	k a k a r a i
kakarie(j)o	k a k a r ie ( j ) o	k a k a r i ( j ) o
kakèkaka	k a k è k a k a	k a k ɛ k a k a
kakèlèha	k a k è l è h a	k a k ɛ l ɛ h a
kakiedahaie(j)o	k a k ie d a h a ie ( j ) o	k a k i d a h a i ( j ) o
kakiedjoa	k a k ie dj o a	k a k i d͡ʒ o a
kakiedohè	k a k ie d o h è	k a k i d o h ɛ
kakiekiedohè	k a k ie k ie d o h è	k a k i k i d o h ɛ
kakiekie(j)oe	k a k ie k ie ( j ) oe	k a k i k i ( j ) u
kakiepakiepa	k a k ie p a k ie p a	k a k i p a k i p a
kakoehè	k a k oe h è	k a k u h ɛ
kakoenjè	k a k oe nj è	k a k u ɲ ɛ
kakoeöqö	k a k oe ö q ö	k a k u ʔ o ʔ ɨ
kaköoe	k a k ö oe	k a k ɨ u
kakoro(w)a	k a k o r o ( w ) a	k a k o r o ( w ) a
kalèaq	k a l è a q	k a l ɛ a ʔ
kalèaq(oe)baba	k a l è a q ( oe ) b a b a	k a l ɛ a ʔ ( u ) b a b a
kamanaä	k a m a n a ä	k a m a n a ʔ a
kamoepie	k a m oe p ie	k a m u p i
kamoenieno	k a m oe n ie n o	k a m u n i n o
kamoho	k a m o h o	k a m o h o
kamonie	k a m o n ie	k a m o n i
kanakienie	k a n a k ie n ie	k a n a k i n i
kanapoe	k a n a p oe	k a n a p u
kanapoeäq	k a n a p oe ä q	k a n a p u ʔ a ʔ
kanapoenoe	k a n a p oe n oe	k a n a p u n u
kanèko	k a n è k o	k a n ɛ k o
kanènè	k a n è n è	k a n ɛ n ɛ
kanènonèno	k a n è n o n è n o	k a n ɛ n o n ɛ n o
kanèonèo	k a n è o n è o	k a n ɛ o n ɛ o
kanèpoe	k a n è p oe	k a n ɛ p u
kanè(q)a	k a n è ( q ) a	k a n ɛ ( ʔ ) a
kaniehie	k a n ie h ie	k a n i ç i
kaniekie	k a n ie k ie	k a n i k i
kaniekoä(a)q	k a n ie k o ä ( a ) q	k a n i k o ʔ a ( a ) ʔ
kanie(nie)kie	k a n ie ( n ie ) k ie	k a n i ( n i ) k i
kanieniepo(w)a	k a n ie n ie p o ( w ) a	k a n i n i p o ( w ) a
kanoeaie	k a n oe a ie	k a n u a i
kanoeanoea	k a n oe a n oe a	k a n u a n u a
kanoeqkoe(w)aie	k a n oe q k oe ( w ) a ie	k a n u ʔ k u ( w ) a i
kanoöho(w)aq	k a n o ö h o ( w ) a q	k a n o ʔ o h o ( w ) a ʔ
kao(e)	k a o ( e )	k a o ( e )
kaoeäq	k a oe ä q	k a u ʔ a ʔ
kaoedada	k a oe d a d a	k a u d a d a
